dataset,source_id,L_j,n_content,mu_unif,mu_mask,Epi_unif,Epi_mask,ratio
factscore_bio,Andrew Shue,25,12,0.261149,0.284627,0.00189188,0.00222474,1.17594
factscore_bio,Andrew Shue,17,8,0.260891,0.282095,0.0029071,0.0052546,1.8075
factscore_bio,Andrew Shue,49,25,0.324138,0.332051,0.00138252,0.00132478,0.958234
factscore_bio,Andrew Shue,22,9,0.101477,0.0725444,0.000432432,0.00120317,2.78233
factscore_bio,Andrew Shue,22,9,0.183205,0.284437,0.0011726,0.0019657,1.67637
factscore_bio,Andrew Shue,28,12,0.385146,0.423518,0.00308061,0.00444211,1.44196
factscore_bio,Andrew Shue,21,8,0.302953,0.341536,0.00352395,0.00463838,1.31624
factscore_bio,Andrew Shue,22,9,0.135479,0.168265,0.00111414,0.00130656,1.17271
factscore_bio,Andrew Shue,17,6,0.13425,0.0828481,0.000847922,0.00151618,1.78811
factscore_bio,Andrew Shue,41,16,0.227121,0.23737,0.00183761,0.00203013,1.10477
factscore_bio,Andrew Shue,17,7,0.0672302,0.0552619,0.000474586,0.00098919,2.08432
factscore_bio,Andrew Shue,22,7,0.458271,0.324934,0.00317902,0.00687213,2.16171
factscore_bio,Andrew Shue,23,7,0.208689,0.200128,0.0027383,0.004252,1.55279
factscore_bio,Wahida Prism Khan,17,13,0.19719,0.246851,0.000888447,0.00128863,1.45043
factscore_bio,Wahida Prism Khan,13,5,0.0795096,0.0389898,0.000989148,0.000491968,0.497365
factscore_bio,Wahida Prism Khan,24,11,0.42565,0.448394,0.00568641,0.00922318,1.62197
factscore_bio,Wahida Prism Khan,27,14,0.0646947,0.051818,0.00021705,0.000522034,2.40513
factscore_bio,Wahida Prism Khan,32,12,0.315324,0.376761,0.0029433,0.00707991,2.40543
factscore_bio,Wahida Prism Khan,18,7,0.172432,0.177865,0.00273878,0.00549686,2.00705
factscore_bio,Wahida Prism Khan,27,9,0.180714,0.153336,0.00258034,0.003332,1.2913
factscore_bio,Wahida Prism Khan,16,6,0.442034,0.411052,0.00430133,0.00636483,1.47973
factscore_bio,Wahida Prism Khan,20,6,0.0431475,0.00833766,0.000252719,2.96688e-05,0.117398
factscore_bio,Wahida Prism Khan,25,11,0.0707187,0.0142867,0.00031113,5.87719e-05,0.188898
factscore_bio,Wahida Prism Khan,42,20,0.0638464,0.0597665,0.000261514,0.000623275,2.38333
factscore_bio,Wahida Prism Khan,21,9,0.0863531,0.0948997,0.000797933,0.00120683,1.51245
factscore_bio,Wahida Prism Khan,20,9,0.0135156,0.00913704,3.57524e-05,2.46731e-05,0.690112
factscore_bio,Wahida Prism Khan,22,7,0.229901,0.259548,0.00172572,0.00699923,4.05582
factscore_bio,Wahida Prism Khan,23,7,0.489747,0.486691,0.00540209,0.00654068,1.21077
factscore_bio,Wahida Prism Khan,40,21,0.293077,0.263097,0.00181431,0.00237311,1.308
factscore_bio,Waka Flocka Flame,35,20,0.791276,0.682332,0.000861145,0.00161319,1.87331
factscore_bio,Waka Flocka Flame,42,19,0.550476,0.451067,0.00215437,0.00328663,1.52556
factscore_bio,Waka Flocka Flame,15,9,0.569077,0.464834,0.00421912,0.0038191,0.905187
factscore_bio,Waka Flocka Flame,29,11,0.266777,0.343808,0.00203368,0.00282496,1.38909
factscore_bio,Waka Flocka Flame,23,8,0.0955223,0.191262,0.000513715,0.0014641,2.85003
factscore_bio,Waka Flocka Flame,24,11,0.405979,0.498033,0.00307702,0.00292132,0.949401
factscore_bio,Waka Flocka Flame,17,6,0.626412,0.648246,0.00226645,0.00256684,1.13254
factscore_bio,Waka Flocka Flame,27,11,0.369715,0.191766,0.00248418,0.00193001,0.776917
factscore_bio,Waka Flocka Flame,35,19,0.537834,0.414207,0.00230597,0.00198924,0.862649
factscore_bio,Waka Flocka Flame,34,12,0.457874,0.456335,0.00216821,0.00317574,1.46469
factscore_bio,Waka Flocka Flame,34,20,0.470785,0.424757,0.00180232,0.00134635,0.747008
factscore_bio,Waka Flocka Flame,72,33,0.483194,0.449616,0.00128391,0.00123459,0.961583
factscore_bio,Waka Flocka Flame,28,12,0.489624,0.405341,0.00272386,0.00249189,0.914835
factscore_bio,Waka Flocka Flame,24,11,0.57029,0.518808,0.00175762,0.00245495,1.39675
factscore_bio,Waka Flocka Flame,32,13,0.245338,0.29467,0.00149125,0.00533138,3.57511
factscore_bio,Waka Flocka Flame,32,16,0.270959,0.222568,0.00345142,0.00289024,0.837405
factscore_bio,Waka Flocka Flame,9,1,0.867386,0.528831,0.00174889,0.0314575,17.9871
factscore_bio,Focus...,29,18,0.335659,0.261045,0.00154857,0.00122872,0.793453
factscore_bio,Focus...,13,5,0.268145,0.227357,0.00271809,0.00238348,0.876896
factscore_bio,Focus...,40,18,0.22148,0.222356,0.000963979,0.00107483,1.11499
factscore_bio,Focus...,50,17,0.122445,0.147997,0.000625296,0.000955115,1.52746
factscore_bio,Focus...,30,13,0.186669,0.141826,0.000687133,0.000907382,1.32053
factscore_bio,Focus...,22,11,0.182132,0.218927,0.00117148,0.000701079,0.598456
factscore_bio,Focus...,20,9,0.153625,0.20752,0.00123032,0.00191772,1.55872
factscore_bio,Focus...,24,12,0.0579847,0.0843236,0.000171472,0.000281969,1.6444
factscore_bio,Focus...,43,20,0.0157025,0.0258076,3.00791e-05,0.000119387,3.96909
factscore_bio,Focus...,44,19,0.0468407,0.0569551,0.000132749,0.000231778,1.74599
factscore_bio,Focus...,29,10,0.158089,0.24083,0.00136238,0.00307945,2.26035
factscore_bio,Focus...,37,20,0.16716,0.174069,0.00146477,0.00180882,1.23489
factscore_bio,Focus...,46,18,0.0306517,0.034397,8.301e-05,0.000112384,1.35386
factscore_bio,Focus...,32,11,0.090553,0.0820381,0.000658276,0.00106076,1.61142
factscore_bio,Focus...,23,8,0.0673717,0.110614,0.000446858,0.00134114,3.00128
factscore_bio,Sara Paxton,29,15,0.490649,0.577743,0.0016822,0.0016806,0.999047
factscore_bio,Sara Paxton,32,13,0.507342,0.469032,0.0029323,0.00334237,1.13984
factscore_bio,Sara Paxton,46,23,0.203428,0.196284,0.00117613,0.00136089,1.15709
factscore_bio,Sara Paxton,48,23,0.318948,0.350266,0.00117561,0.00143274,1.21872
factscore_bio,Sara Paxton,18,7,0.173741,0.290796,0.00155425,0.00276723,1.78043
factscore_bio,Sara Paxton,36,16,0.391824,0.417163,0.00149847,0.00116324,0.776282
factscore_bio,Sara Paxton,23,9,0.0975045,0.0538852,0.000525678,0.000662259,1.25982
factscore_bio,Sara Paxton,46,21,0.281678,0.296362,0.00117104,0.00226242,1.93198
factscore_bio,Sara Paxton,23,9,0.143997,0.122974,0.000951853,0.00167597,1.76075
factscore_bio,Sara Paxton,15,6,0.639964,0.477316,0.00346766,0.00564286,1.62728
factscore_bio,Sara Paxton,26,10,0.280998,0.325018,0.00357736,0.0050301,1.40609
factscore_bio,Sara Paxton,28,13,0.198365,0.232594,0.00227795,0.00291255,1.27858
factscore_bio,Sara Paxton,21,10,0.0731522,0.0491075,0.000538779,0.000561556,1.04228
factscore_bio,Sara Paxton,24,10,0.262011,0.211638,0.00170678,0.0025246,1.47916
factscore_bio,Sara Paxton,22,8,0.225918,0.207515,0.00418596,0.00455871,1.08905
