dataset,source_id,L_j,n_content,mu_unif,mu_mask,Epi_unif,Epi_mask,ratio
factscore_bio,Andreas Kisser,17,5,0.322765,0.463113,0.00611045,0.00516012,0.844475
factscore_bio,Andreas Kisser,28,10,0.255595,0.298622,0.00191961,0.00310603,1.61805
factscore_bio,Andreas Kisser,31,11,0.270219,0.305053,0.00428941,0.00510422,1.18996
factscore_bio,Andreas Kisser,42,14,0.061399,0.0911272,0.000214406,0.000371428,1.73236
factscore_bio,Andreas Kisser,23,11,0.385423,0.34164,0.00402122,0.0030339,0.754473
factscore_bio,Sharad Kumar (athlete),18,9,0.297866,0.180457,0.0025963,0.00293603,1.13085
factscore_bio,Sharad Kumar (athlete),17,6,0.0515021,0.0382453,0.000333406,0.000606879,1.82024
factscore_bio,Sharad Kumar (athlete),21,9,0.140468,0.225505,0.000983515,0.00211901,2.15452
factscore_bio,Sharad Kumar (athlete),14,3,0.54698,0.536278,0.00417733,0.0113707,2.72201
factscore_bio,Sharad Kumar (athlete),15,5,0.0408014,0.00666607,0.000516304,1.2107e-05,0.0234493
factscore_bio,Sharad Kumar (athlete),24,6,0.0888468,0.0564078,0.000983634,0.00156741,1.59349
factscore_bio,Sharad Kumar (athlete),45,31,0.0452541,0.0633124,0.000113744,0.000226699,1.99305
factscore_bio,Sharad Kumar (athlete),5,3,0.00494588,0.000729051,7.49665e-06,2.3757e-07,0.0316902
factscore_bio,Sharad Kumar (athlete),22,7,0.119185,0.0639832,0.00122211,0.00160866,1.3163
factscore_bio,Sharad Kumar (athlete),32,17,0.104146,0.0952724,0.000691934,0.000713867,1.0317
factscore_bio,Sharad Kumar (athlete),42,22,0.0728077,0.0756646,0.000506065,0.00073439,1.45118
factscore_bio,Sharad Kumar (athlete),27,16,0.050597,0.0622095,0.000411863,0.000721281,1.75126
factscore_bio,Sharad Kumar (athlete),40,24,0.13628,0.163645,0.000994156,0.000884356,0.889555
factscore_bio,Sharad Kumar (athlete),31,12,0.168953,0.198735,0.00188726,0.00306456,1.62382
factscore_bio,Sharad Kumar (athlete),25,7,0.14226,0.1164,0.00184496,0.00290457,1.57433
factscore_bio,Idriss Ngari,24,8,0.0315664,0.0197383,0.000205189,7.36006e-05,0.358696
factscore_bio,Idriss Ngari,29,13,0.030491,0.0280748,0.000235249,0.000199092,0.846302
factscore_bio,Idriss Ngari,32,10,0.561444,0.312701,0.0040933,0.00129517,0.316411
factscore_bio,Idriss Ngari,27,5,0.220244,0.32194,0.00310776,0.00439899,1.41549
factscore_bio,Gerhard Fischer (inventor),33,17,0.283843,0.352207,0.00211916,0.00330086,1.55763
factscore_bio,Gerhard Fischer (inventor),22,10,0.256684,0.274465,0.00324093,0.00412651,1.27325
factscore_bio,Gerhard Fischer (inventor),25,12,0.207162,0.215585,0.00178906,0.00249375,1.39389
factscore_bio,Gerhard Fischer (inventor),33,14,0.0624855,0.062321,0.000586812,0.000562159,0.957988
factscore_bio,Gerhard Fischer (inventor),30,14,0.0407183,0.0603697,0.000147459,0.000366345,2.48439
factscore_bio,Gerhard Fischer (inventor),23,8,0.0279851,0.0607505,0.000132047,0.000651247,4.93192
factscore_bio,Gerhard Fischer (inventor),23,9,0.0690619,0.120393,0.000428774,0.00107432,2.50557
factscore_bio,Gerhard Fischer (inventor),32,14,0.077468,0.103501,0.000116802,0.000232863,1.99366
factscore_bio,Gerhard Fischer (inventor),18,7,0.0759201,0.0831816,0.00115639,0.00277755,2.40191
factscore_bio,Gerhard Fischer (inventor),31,14,0.112309,0.0730342,0.00138425,0.0007787,0.562544
factscore_bio,Gerhard Fischer (inventor),17,6,0.051077,0.00624821,0.000491712,2.1747e-05,0.0442272
factscore_bio,Gerhard Fischer (inventor),26,9,0.0419357,0.0289702,0.000282532,0.000182127,0.644627
factscore_bio,Gerhard Fischer (inventor),27,10,0.050182,0.0514825,0.000345906,0.000711882,2.05802
factscore_bio,Gerhard Fischer (inventor),20,9,0.174039,0.177039,0.000838602,0.00107071,1.27677
factscore_bio,Gerhard Fischer (inventor),20,7,0.13152,0.0980714,0.000873953,0.00166972,1.91054
