variant,AUROC,Brier,ECE,epi_mu_mean,binomial_NLL
Ours (Bayesian),0.7839127471029311,0.07336715828506478,0.04741385702808603,0.0008066153151927746,1.472786427573845
Ours (Point),0.7848216314473984,0.07389665871130453,0.05300289082520185,0.0,1.472786427573845
