method,MAE,RMSE,Pearson_r,binomial_NLL,Brier,ECE,PRR_AUC,time_ms,n
Ours (Bayesian),0.21811094273602322,0.29907286150475665,0.43228936361042103,1.472786427573845,0.08944457648864335,0.06671528228374031,0.1393502991396309,0.10509961535336276,353
Ours (Point),0.21811094273602322,0.29907286150475665,0.43228936361042103,1.472786427573845,0.08944457648864335,0.06671528228374031,0.2483191557128341,0.09620922588592885,353
token_entropy,0.497769155335719,0.5546891074186708,0.3017041481494307,,0.3076800058889217,0.45980381445574015,0.28343976617603056,3.607848659157753,353
logistic_regression,0.19218208106747106,0.3339218172782791,0.31702202277891617,,0.11150378005442839,0.15309369320707045,0.11388590454940407,5664.491532370448,353
factuality_probe_adapted,0.20719955664315387,0.3108651601554232,0.3424968683010764,,0.0966371477984569,0.09519015429668985,0.12617022765353383,370.25378458201885,353
factuality_probe_original,0.20622942625672266,0.2915446562978888,0.4982987831313997,,0.08499828661585411,0.06343919665552017,0.10163855028016208,4959355.049589649,353
factuality_probe_original_repo,0.20629572590670725,0.27837049240917505,0.5213541879271029,,0.07749013104412658,0.05055594921659443,0.0955494888972589,67135.06543263793,353
