method,AUROC,AUROC_CI_lo,AUROC_CI_hi,AUPRC,Brier,ECE,ECE_CI_lo,ECE_CI_hi,PRR_AUC,time_ms,n,frac_strict
Ours (Bayesian),0.7727789138832083,0.7009567125086247,0.840252707438747,0.25275245440385835,0.0682339505640587,0.050304964775472756,0.03611701657213662,0.08315305261855666,0.02667444712055264,0.11482459120980065,353,0.0764872521246459
Ours (Point),0.7819813678709384,0.7137671503427713,0.8495010708722741,0.24795452040117533,0.06768649642042902,0.05195111459443799,0.0354076766773927,0.08422843035758079,0.158529792478684,0.10652606383430384,353,0.0764872521246459
token_entropy,0.731651897296069,0.6275255010461465,0.8254985274742307,0.23118942191187908,0.418786409997408,0.5817584886767034,0.5506783526359131,0.6094709248363803,0.14408281727031338,3.607848659157753,353,0.0764872521246459
logistic_regression,0.8031129288798,0.7216809741436101,0.8750013303533418,0.27962689402715957,0.07400786966926615,0.05264899280208282,0.03764107417750149,0.08700396152421543,0.15688287109666577,5664.491532370448,353,0.0764872521246459
factuality_probe_adapted,0.8112928879800044,0.7345160165921035,0.8825648214848498,0.2658976020324376,0.0659734079634325,0.03302233828635353,0.02253738953779773,0.06136006182366349,0.15797294106980678,370.25378458201885,353,0.0764872521246459
factuality_probe_original,0.8486707566462168,0.7726181409035832,0.9162346938847095,0.3866025510447427,0.10967601533640987,0.17422878748632406,0.1460308824342817,0.20330776920383906,0.17651527471089817,4959355.049589649,353,0.0764872521246459
factuality_probe_original_repo,0.85764598954783,0.7949047754651204,0.9148687260880514,0.4216997910935488,0.09988531604184707,0.17251062343755763,0.144742313927828,0.19920908618935146,0.1809538638459684,67135.06543263793,353,0.0764872521246459
