variant,AUROC,Brier,ECE,epi_mu_mean,binomial_NLL
Ours (Bayesian),0.7727789138832083,0.0682339505640587,0.050304964775472756,0.0032379379837713905,1.3285872863015318
Ours (Point),0.7819813678709384,0.06768649642042902,0.05195111459443799,0.0,1.3285872863015318
