method,AUROC,AUROC_CI_lo,AUROC_CI_hi,AUPRC,Brier,ECE,ECE_CI_lo,ECE_CI_hi,PRR_AUC,time_ms,n,frac_strict
Ours (Bayesian),0.6554054054054054,0.4586133779570878,0.8270676691729323,0.3487030179964963,0.15818421221785076,0.16999033768416422,0.08568664990155286,0.2896429573387605,0.08577899908852711,6.788775987095303,45,0.17777777777777778
Ours (Point),0.6554054054054054,0.4560810810810811,0.8293644266917293,0.34731541606541605,0.1660502176627115,0.18573520087593925,0.09505999459980305,0.29760119755308767,0.2636477758291338,9.186088004046017,45,0.17777777777777778
token_entropy,0.7972972972972974,0.6165241610122868,0.9358108108108109,0.41607998084291187,0.2378433314729838,0.32551595502429537,0.23400677624675964,0.4383477774262428,0.2919449496481208,1.2112800031900406,45,0.17777777777777778
logistic_regression,0.7162162162162162,0.5225326046597976,0.8797506858362121,0.41195581911694445,0.15761613987141618,0.16905014436407434,0.06875333016686555,0.2837132791703334,0.29201353723080176,160.5512648820877,45,0.17777777777777778
factuality_probe_adapted,0.42229729729729726,0.20266562294001314,0.6554898648648647,0.1807565626644574,0.15851253720920244,0.15278963554236624,0.08510109697365098,0.27479563987296485,0.13618208406689547,12.785760685801506,45,0.17777777777777778
