variant,AUROC,Brier,ECE,epi_mu_mean,binomial_NLL
Ours (Bayesian),0.6554054054054054,0.15818421221785076,0.16999033768416422,0.008113837337740825,2.2508081539495914
Ours (Point),0.6554054054054054,0.1660502176627115,0.18573520087593925,0.0,2.2508081539495914
