method,MAE,RMSE,Pearson_r,binomial_NLL,Brier,ECE,PRR_AUC,time_ms,n
Ours (Bayesian),0.3286404834268911,0.4094534099831846,0.24802184345907818,2.2508081539495914,0.16765209494685782,0.2115374524523725,0.21809874384830066,6.788775987095303,45
Ours (Point),0.3286404834268911,0.4094534099831846,0.24802184345907818,2.2508081539495914,0.16765209494685782,0.2115374524523725,0.34564739812497486,9.186088004046017,45
token_entropy,0.32783110804027976,0.37630107318257106,0.4693065232580309,,0.1416024976783547,0.1680781979914065,0.3969183409413464,1.2112800031900406,45
logistic_regression,0.3257792621389617,0.48886132163368107,0.2650598488511719,,0.23898539178942935,0.31744622288884033,0.2157125453736195,160.5512648820877,45
factuality_probe_adapted,0.3348456527899812,0.45221614284862427,0.010140912320429973,,0.20449943985288735,0.22755266977129157,0.2995357538544172,12.785760685801506,45
