variant,AUROC,Brier,ECE,epi_mu_mean,binomial_NLL
Ours (Bayesian),0.7670983867302885,0.06863898275894106,0.04789941721765528,0.006041421309684469,1.325441663274381
Ours (Point),0.784480799818223,0.06766335204324002,0.04679061420580548,0.0,1.325441663274381
