variant,AUROC,Brier,ECE,epi_mu_mean,binomial_NLL
Ours (Bayesian),0.7759600090888434,0.06828860478562139,0.05320574246412209,0.0025154775909827253,1.3300568689093673
Ours (Point),0.7817541467848216,0.06797982329230433,0.05099549352577521,0.0,1.3300568689093673
