variant,AUROC,Brier,ECE,epi_mu_mean,binomial_NLL
Ours (Bayesian),0.7797091570097705,0.06812296659788912,0.051819213312388576,0.0016968479257147328,1.3270343524427137
Ours (Point),0.7843671892751647,0.06787019126236951,0.050513790480248795,0.0,1.3270343524427137
